place_id,business_name,category,search_category,phone,address,city,rating,review_count,google_maps_url,website_url,business_status,types
ChIJrZVr8ORTrlQRJaa9XEQkBCc,American Pro Electric,electrician,Electrician,(208) 515-1111,"7606 W Settlers Ave, Boise, ID 83704, USA",Boise,4.2,35,https://maps.google.com/?cid=2811411943418340901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,electrician|point_of_interest|service|establishment
ChIJdaHL1AwJ5gQRzLDzotOEOts,Reliable Pest Control Boise,service,Pest control,(208) 379-9793,"101 S 15th St, Boise, ID 83702, USA",Boise,5,38,https://maps.google.com/?cid=15797084687462281420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,service|point_of_interest|establishment
ChIJ_cY1k8T5rlQRTsx_IacUCWk,Blue summer lawn care,service,Lawn care,(208) 713-2851,"Boise, ID 83705, USA",Boise,5,2,https://maps.google.com/?cid=7568603356826946638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,service|point_of_interest|establishment
ChIJM-qdnjFUrlQRLCtEmDJ7DSs,Johnny Lawn Aeration,general_contractor,Lawn care,(208) 703-7217,"1111 S Orchard St #223, Boise, ID 83705, USA",Boise,4.5,29,https://maps.google.com/?cid=3102271175561325356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJ2Vy2QkJVrlQRtFS8fWZIMPk,Ace Handyman Services Meridian,home_goods_store,Handyman,(208) 593-6939,"9460 W Fairview Ave #145, Boise, ID 83704, USA",Boise,4.9,291,https://maps.google.com/?cid=17955931319359526068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,home_goods_store|store|general_contractor|service|point_of_interest|establishment
ChIJ8Ueizc1XrlQRH684OmV3h9g,Get 'R' Done Pressure Washing,point_of_interest,Pressure washing,(208) 869-1460,"4820 W Albion Dr, Boise, ID 83705, USA",Boise,5,1,https://maps.google.com/?cid=15602570710700568351&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,point_of_interest|service|establishment
ChIJw6PWQcVQrlQRW_cOZdptTZ8,A Busy Bee Lock and Key,locksmith,Locksmith,(208) 376-2879,"12558 W Dalrymple Ct, Boise, ID 83709, USA",Boise,4.5,40,https://maps.google.com/?cid=11478951810003040091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,locksmith|service|point_of_interest|establishment
ChIJXeTYMOxTrlQRNyc818kkBWI,Treasure Valley Septic Services,service,Septic service,(208) 888-4423,"Boise, ID 83713, USA",Boise,5,4,https://maps.google.com/?cid=7063092039918561079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,service|point_of_interest|establishment
ChIJCzY2Wkz_rlQRg0W0u-Ffgrw,"Boise Cabinet, Inc.",manufacturer,Cabinet maker,(208) 323-0010,"114 E 43rd St, Garden City, ID 83714, USA",,5,2,https://maps.google.com/?cid=13583524849224271235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,manufacturer|service|point_of_interest|establishment
ChIJAQAQ5VRVrlQRlxeBgc62IX4,Foundation Supportworks of Idaho,service,Foundation repair,(208) 437-8848,"1871 E McGrath Rd, Eagle, ID 83616, USA",Eagle,4,1,https://maps.google.com/?cid=9088746521062610839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,service|point_of_interest|establishment
ChIJAVBeVhD_rlQR2n399ctVWXI,Boise Drywall Repair,general_contractor,Drywall contractor,(208) 631-9421,"3909 N Cartwright Rd, Boise, ID 83714, USA",Boise,5,137,https://maps.google.com/?cid=8239711327744785882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|point_of_interest|service|establishment
ChIJib_CBvH_rlQRgYVJbx9CA8A,The Pool Zombie,point_of_interest,Pool service,(208) 991-4578,"10105 W Claudia Rd, Boise, ID 83714, USA",Boise,5,8,https://maps.google.com/?cid=13835975182990804353&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,point_of_interest|service|establishment
ChIJ8awJg0BJimARfJxQYUMQQyI,Next gen welding and fabrication,manufacturer,Welding service,(208) 912-7722,"1726 Calaveras Pl N, Kuna, ID 83634, USA",,3.7,6,https://maps.google.com/?cid=2468834902310689916&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,manufacturer|point_of_interest|establishment
ChIJR4pMamf_rlQRqhqVZGVyNA8,Jeremy's Welding LLC,point_of_interest,Welding service,(208) 999-2935,"599 E 44th St Suite #4, Garden City, ID 83714, USA",,4.9,17,https://maps.google.com/?cid=1095626389162629802&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,point_of_interest|service|establishment
ChIJ5QHxgIz3rlQRXQ8eA9833ZU,Central Paving,service,Paving contractor,(208) 338-0818,"5319 S Apple St, Boise, ID 83716, USA",Boise,1,1,https://maps.google.com/?cid=10798848912473853789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,service|point_of_interest|establishment
ChIJVR5tY1dSrlQRBUkbINDiBsQ,"Berry Electrical Services, Inc.",electrician,Electrician,(208) 898-0950,"1299 N Black Cat Rd, Meridian, ID 83642, USA",Meridian,5,5,https://maps.google.com/?cid=14125226664813873413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,electrician|service|point_of_interest|establishment
ChIJ6djgw0L_rlQR1HD4SXKS2J8,"Canyon Electric, LLC",electrician,Electrical contractor,(208) 323-2000,"1270 E Fairview Ave #100, Meridian, ID 83642, USA",Meridian,4.7,44,https://maps.google.com/?cid=11518117066564989140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,electrician|point_of_interest|service|establishment
ChIJEQ0hHd9TrlQRP3oBb8OA1Qs,Meridian Roofing LLC,roofing_contractor,Roofer,(208) 258-5239,"3018 W Fieldstream Dr #4129, Meridian, ID 83646, USA",Meridian,5,112,https://maps.google.com/?cid=852729281325922879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,roofing_contractor|point_of_interest|service|establishment
ChIJW8zWKwBUrlQRiNXldB2YzKM,Air Conditioning & Heating Service of Meridian,general_contractor,HVAC,(208) 846-8707,"880 E Franklin Rd Suite 313, Meridian, ID 83642, USA",Meridian,5,317,https://maps.google.com/?cid=11802975975713920392&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJL6NNMvmof24RnYM9OHBqomw,Elite Sprinkler Tech & Landscaping LLC,point_of_interest,Landscaping,(208) 922-8879,"1131 E Ustick Rd, Meridian, ID 83646, USA",Meridian,4.9,61,https://maps.google.com/?cid=7827936132535780253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,point_of_interest|general_contractor|service|establishment
ChIJ5aUJw95VrlQRuBIMXg0zM9k,Idaho Mobile Automotive Co,car_repair,Auto repair,(303) 547-6468,"3415 N Centrepoint Way C103, Meridian, ID 83646, USA",Meridian,4.7,23,https://maps.google.com/?cid=15650909262548046520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,car_repair|service|point_of_interest|establishment
ChIJJYHOCehTrlQRGJ0N1LONWmI,Giesler's Auto Repair,car_repair,Auto repair,(208) 888-1841,"216 W Franklin Rd, Meridian, ID 83642, USA",Meridian,4.9,121,https://maps.google.com/?cid=7087132767117221144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,car_repair|service|point_of_interest|establishment
ChIJG85_-DhRrlQRamnum81vJk0,Meridian Carpet Cleaning,laundry,Carpet cleaning,(208) 744-7990,"841 E Fairview Ave, Meridian, ID 83642, USA",Meridian,5,23,https://maps.google.com/?cid=5559253718910527850&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,laundry|point_of_interest|service|establishment
ChIJ2Sjz6zlVrlQR8xWSmZKh0Qs,Idaho Sprinkler Authority,general_contractor,Irrigation,(208) 918-3959,"612 W Laughton Dr, Meridian, ID 83646, USA",Meridian,5,2,https://maps.google.com/?cid=851639455563519475&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|point_of_interest|service|establishment
ChIJtQ48IB5HfwMRExZaNGYX758,Redline Irrigation LLC.,general_contractor,Irrigation,(208) 801-8823,"720 W Colbert St, Meridian, ID 83646, USA",Meridian,5,39,https://maps.google.com/?cid=11524455699196810771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|point_of_interest|service|establishment
ChIJU7HTEF1TrlQRvd5Y05tyaoE,Settler's Irrigation District,general_contractor,Irrigation,(208) 855-0417,"2398 W McMillan Rd, Meridian, ID 83646, USA",Meridian,1,2,https://maps.google.com/?cid=9325391992015347389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|store|point_of_interest|service|establishment
ChIJBecpLdaK0gIRquJA4LaIYQU,Evergreen Flooring LLC,general_contractor,Flooring contractor,(986) 200-3489,"1323 N Meridian Rd, Meridian, ID 83642, USA",Meridian,5,21,https://maps.google.com/?cid=387741361958347434&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJpYE9DPhTrlQRxVsFwR4nGnE,Idaho Renovations llc,general_contractor,Flooring contractor,(208) 602-0511,"1336 NE 4th St, Meridian, ID 83642, USA",Meridian,5,2,https://maps.google.com/?cid=8149869488721189829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJFViSOWxTrlQR_cBUflnkn4Q,Idaho Tile World and Remodeling,general_contractor,Tile contractor,(208) 982-8298,"972 W Broadway Ave, Meridian, ID 83642, USA",Meridian,5,2,https://maps.google.com/?cid=9556608007326187773&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|home_goods_store|store|point_of_interest|service|establishment
ChIJAQBUOuFZrlQRQ7ZHspJopVg,"Titan Stone and Tile, LLC",general_contractor,Tile contractor,(208) 899-7587,"408 N Maple Grove Rd, Boise, ID 83704, USA",Boise,5,6,https://maps.google.com/?cid=6387626625760474691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|point_of_interest|service|establishment
ChIJpyu6PkhRrlQR22t_s4xmst8,DNB Remodeling - Bathrooms & Kitchens,home_goods_store,Kitchen remodel,(208) 859-8291,"2020 S Luxury Ln h106, Meridian, ID 83642, USA",Meridian,5,5,https://maps.google.com/?cid=16119058770805353435&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,home_goods_store|general_contractor|store|point_of_interest|service|establishment
ChIJN77e8_r4M2IRfiwOFzV8AMo,Rogue Concrete & Construction,general_contractor,Foundation repair,(480) 204-6538,"2185 Klemmer Ave N, Kuna, ID 83634, USA",,4.8,45,https://maps.google.com/?cid=14555770563123358846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJC4o3TKBTrlQRellFcjihzLQ,Ron Pollard Drywall Inc.,consultant,Drywall contractor,(208) 861-7953,"2307 N Kubik Pl, Meridian, ID 83642, USA",Meridian,4.4,7,https://maps.google.com/?cid=13027965085883390330&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,consultant|general_contractor|point_of_interest|service|establishment
ChIJd2wQvQdUrlQRW0FCHfNydfk,Paragon Pacific,general_contractor,Insulation contractor,(208) 887-9955,"2000 E Commercial St, Meridian, ID 83642, USA",Meridian,4.5,10,https://maps.google.com/?cid=17975399876212703579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|point_of_interest|service|establishment
ChIJRZ4TLChVrlQRE-0xFmTg2_4,Rangel Siding Company LLC,service,Siding contractor,(208) 602-4747,"1020 N Parkdale Ave, Meridian, ID 83642, USA",Meridian,5,6,https://maps.google.com/?cid=18364518626007051539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,service|point_of_interest|establishment
ChIJQS4cid9VrlQRJsFrYOXi89o,A Clean Sweep of Treasure Valley,point_of_interest,Chimney sweep,(208) 420-6861,"4105 N Five Mile Rd, Boise, ID 83713, USA",Boise,5,1,https://maps.google.com/?cid=15777203394402042150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,point_of_interest|service|establishment
ChIJVzOvsjxNrlQRYoUAcANieo8,CW Welding&Repair,point_of_interest,Welding service,(208) 602-0797,"420 7th St S, Nampa, ID 83651, USA",Nampa,5,3,https://maps.google.com/?cid=10338683661485901154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,point_of_interest|service|establishment
ChIJFbz9t_ZSrlQRVsPhLiXKI-o,Highmark Excavation LLC,general_contractor,Excavation contractor,(208) 887-9687,"5730 W Cherry Ln, Meridian, ID 83642, USA",Meridian,5,3,https://maps.google.com/?cid=16871550890109158230&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJ0eDCBl1TrlQRo2aEkHLLZRw,Superior Construction-Excvtng,general_contractor,Excavation contractor,(208) 884-4011,"2350 W McMillan Rd, Meridian, ID 83646, USA",Meridian,4.2,17,https://maps.google.com/?cid=2046265298621064867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJiSJb4rlLrlQRotn3x6YLrbk,EZ Landscaping LLC,general_contractor,Landscaping,(208) 284-2154,"3614 Wilson Ln, Nampa, ID 83686, USA",Nampa,4.9,12,https://maps.google.com/?cid=13379362878934997410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,general_contractor|service|point_of_interest|establishment
ChIJLdF3ChZNrlQRRZiICUJAW6Q,Andy's Mobile Auto Repair,car_repair,Auto repair,(208) 954-2993,"nampa idaho, Nampa, ID 83651, USA",Nampa,4.4,68,https://maps.google.com/?cid=11843130297472817221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,car_repair|service|point_of_interest|establishment
ChIJ92caFClNrlQRjQP_quHnwaw,The Nampa Mobile Mechanic,car_repair,Auto repair,(208) 751-8983,"1200 2nd St S, Nampa, ID 83651, USA",Nampa,5,2,https://maps.google.com/?cid=12448485801451258765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,car_repair|service|point_of_interest|establishment
ChIJd6aURDxNrlQRbefbl2qIErw,Duran Truck and Auto,car_repair,Auto repair,(208) 466-8923,"1924 2nd St S, Nampa, ID 83651, USA",Nampa,4.8,75,https://maps.google.com/?cid=13552044220106925933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,OPERATIONAL,car_repair|service|point_of_interest|establishment
