place_id,business_name,category,search_category,phone,address,city,rating,review_count,google_maps_url,website_url,business_status,types
ChIJrYarZ0j_rlQRqJWOmg8sH50,Goodson Plumbing Services,plumber,Plumber,(208) 629-4278,"5103 W Bethel St STE 120, Boise, ID 83706, USA",Boise,4.9,567,https://maps.google.com/?cid=11321816433761883560&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.robgoodsonplumbing.com/,OPERATIONAL,plumber|point_of_interest|service|establishment
ChIJH94r9eT4rlQRpv0QckvrUYc,Express Plumbing Heating & Air,plumber,Plumber,(208) 398-0309,"7863 W Mossy Cup St Suite C, Boise, ID 83709, USA",Boise,4.8,1893,https://maps.google.com/?cid=9750833377502625190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://expressplumbingidaho.com/,OPERATIONAL,plumber|general_contractor|point_of_interest|service|establishment
ChIJOYdyPd75rlQR89K-gfC0GfU,"Beacon Plumbing, Heating, Air-Conditioning, and Electrical, Inc",plumber,Plumber,(208) 516-2061,"1310 S Vista Ave #25, Boise, ID 83705, USA",Boise,5,1482,https://maps.google.com/?cid=17661346358772028147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.beaconplumbing.com/,OPERATIONAL,plumber|electrician|building_materials_store|general_contractor|store|point_of_interest|service|establishment
ChIJYUSysEz_rlQRWNa-4oELciM,Perfect Plumbing Heating & Air,plumber,Plumber,(208) 231-1936,"109 W 44th St, Garden City, ID 83714, USA",,4.8,5457,https://maps.google.com/?cid=2554116591155336792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://perfectplumbingheatingair.com/,OPERATIONAL,plumber|supplier|general_contractor|point_of_interest|service|establishment
ChIJM5-XKixUrlQRYiQqOwgK124,Cloverdale Plumbing,plumber,Plumber,(208) 376-1901,"11627 W Fairview Ave, Boise, ID 83713, USA",Boise,4.7,602,https://maps.google.com/?cid=7986863494633497698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://cloverdaleplumbing.com/,OPERATIONAL,plumber|point_of_interest|service|establishment
ChIJH8WheTD_rlQRu99-OKX75f0,Wickstrom Plumbing Heating & Cooling,plumber,Plumber,(208) 214-4269,"4090 W State St STE 214, Boise, ID 83703, USA",Boise,4.9,1324,https://maps.google.com/?cid=18295305748298522555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.wickstromphc.com/,OPERATIONAL,plumber|general_contractor|point_of_interest|service|establishment
ChIJpXvkWltTrlQRR01YEekDkzw,Plumbing Solutions of Idaho,plumber,Plumber,(208) 606-4515,"870 E Franklin Rd Suite 506, Meridian, ID 83642, USA",Meridian,4.9,1327,https://maps.google.com/?cid=4364836763405405511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://plumbingsolutionsofidaho.com/,OPERATIONAL,plumber|supplier|general_contractor|store|point_of_interest|service|establishment
ChIJi2U-Jh5VrlQRVqo0tbpJFwA,Master Plumbing,plumber,Plumbing,(208) 939-7515,"9446 W Fairview Ave Suite B, Boise, ID 83704, USA",Boise,4.9,565,https://maps.google.com/?cid=6554990717217366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://masterrooter.com/boise-plumbing-services/,OPERATIONAL,plumber|service|point_of_interest|establishment
ChIJKVK0Gk3_rlQR7HTGDRH88_4,Same Day Electric,electrician,Electrician,(208) 377-3278,"4684 W Chinden Blvd, Boise, ID 83714, USA",Boise,4.9,2356,https://maps.google.com/?cid=18371304455150138604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://samedayelectric.net/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*247*same-day-electric-boise,OPERATIONAL,electrician|general_contractor|wholesaler|point_of_interest|service|establishment
ChIJdYeGBZchnlQR04XjjTHEeQM,All 4 You Electrical,electrician,Electrician,(208) 794-7431,"518 S Eagleson Rd, Boise, ID 83705, USA",Boise,5,112,https://maps.google.com/?cid=250446971408713171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.all4youelectrical.com/,OPERATIONAL,electrician|point_of_interest|service|establishment
