place_id,name,address,phone,website,rating,review_count,maps_url,status,types,category,city,status_code,final_url,page_size,lander_type,tier,check_error,notes
ChIJpXvkWltTrlQRR01YEekDkzw,Plumbing Solutions of Idaho,"870 E Franklin Rd Suite 506, Meridian, ID 83642, USA",(208) 606-4515,https://plumbingsolutionsofidaho.com/,4.9,1327,https://maps.google.com/?cid=4364836763405405511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,general_contractor,store,supplier,point_of_interest,service,establishment",Plumber,Boise,,https://plumbingsolutionsofidaho.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='plumbingsolutionsofidaho.com', port=443): Max retries exceeded with url: / (Caused by ProxyErr",
ChIJYUSysEz_rlQRWNa-4oELciM,Perfect Plumbing Heating & Air,"109 W 44th St, Garden City, ID 83714, USA",(208) 231-1936,https://perfectplumbingheatingair.com/,4.8,5458,https://maps.google.com/?cid=2554116591155336792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,general_contractor,supplier,point_of_interest,service,establishment",Plumber,Boise,,https://perfectplumbingheatingair.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='perfectplumbingheatingair.com', port=443): Max retries exceeded with url: / (Caused by ProxyEr",
ChIJrYarZ0j_rlQRqJWOmg8sH50,Goodson Plumbing Services,"5103 W Bethel St STE 120, Boise, ID 83706, USA",(208) 629-4278,https://www.robgoodsonplumbing.com/,4.9,567,https://maps.google.com/?cid=11321816433761883560&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,point_of_interest,service,establishment",Plumber,Boise,,https://www.robgoodsonplumbing.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='www.robgoodsonplumbing.com', port=443): Max retries exceeded with url: / (Caused by ProxyError",
ChIJOYdyPd75rlQR89K-gfC0GfU,"Beacon Plumbing, Heating, Air-Conditioning, and Electrical, Inc","1310 S Vista Ave #25, Boise, ID 83705, USA",(208) 516-2061,https://www.beaconplumbing.com/,5,1484,https://maps.google.com/?cid=17661346358772028147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,electrician,general_contractor,building_materials_store,store,point_of_interest,service,establishment",Plumber,Boise,,https://www.beaconplumbing.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='www.beaconplumbing.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Un",
ChIJM5-XKixUrlQRYiQqOwgK124,Cloverdale Plumbing,"11627 W Fairview Ave, Boise, ID 83713, USA",(208) 376-1901,http://cloverdaleplumbing.com/,4.7,602,https://maps.google.com/?cid=7986863494633497698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,point_of_interest,service,establishment",Plumber,Boise,403,http://cloverdaleplumbing.com/,16,HTTP 403 Forbidden,tier2,,
ChIJMfuCx0H3rlQR22xR3E-eGUc,Five Star Service Pros Plumbing,"500 W Idaho St Suite #265, Boise, ID 83702, USA",(208) 480-1895,https://fivestarservicepros.com/,4.9,367,https://maps.google.com/?cid=5123300116946578651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,point_of_interest,service,establishment",Plumber,Boise,,https://fivestarservicepros.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='fivestarservicepros.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('U",
ChIJH94r9eT4rlQRpv0QckvrUYc,Express Plumbing Heating & Air,"7863 W Mossy Cup St Suite C, Boise, ID 83709, USA",(208) 398-0309,https://expressplumbingidaho.com/,4.8,1893,https://maps.google.com/?cid=9750833377502625190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,general_contractor,point_of_interest,service,establishment",Plumber,Boise,,https://expressplumbingidaho.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='expressplumbingidaho.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('",
ChIJi2U-Jh5VrlQRVqo0tbpJFwA,Master Plumbing,"9446 W Fairview Ave Suite B, Boise, ID 83704, USA",(208) 939-7515,https://masterrooter.com/boise-plumbing-services/,4.9,565,https://maps.google.com/?cid=6554990717217366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,point_of_interest,service,establishment",Plumber,Boise,,https://masterrooter.com/boise-plumbing-services/,0,Connection Error,tier2,"HTTPSConnectionPool(host='masterrooter.com', port=443): Max retries exceeded with url: /boise-plumbing-services/ (Caused",
ChIJH8WheTD_rlQRu99-OKX75f0,Wickstrom Plumbing Heating & Cooling,"4090 W State St STE 214, Boise, ID 83703, USA",(208) 214-4269,https://www.wickstromphc.com/,4.9,1323,https://maps.google.com/?cid=18295305748298522555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,general_contractor,point_of_interest,service,establishment",Plumber,Boise,,https://www.wickstromphc.com/,0,Connection Error,tier2,"HTTPSConnectionPool(host='www.wickstromphc.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unab",
ChIJe9bV5uBTrlQRkHyO1WWXlp4,"Magic Electric, Plumbing, Heating + Air","7255 W Franklin Rd, Boise, ID 83709, USA",(208) 207-9870,https://www.themagicteam.com/boise/,4.9,1362,https://maps.google.com/?cid=11427487568129588368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,"plumber,electrician,general_contractor,store,supplier,point_of_interest,service,establishment",Plumber,Boise,,https://www.themagicteam.com/boise/,0,Connection Error,tier2,"HTTPSConnectionPool(host='www.themagicteam.com', port=443): Max retries exceeded with url: /boise/ (Caused by ProxyError",
